Time	CPU	Memory	Temperature
Fri Jan  5 14:57:13 2024	3.992393	59.671703	51.120998
Fri Jan  5 14:57:14 2024	3.991143	59.671703	51.120998
Fri Jan  5 14:57:15 2024	3.990233	59.678192	51.608002
Fri Jan  5 14:57:16 2024	3.988905	59.678192	50.633999
Fri Jan  5 14:57:17 2024	3.987913	59.691166	52.095001
Fri Jan  5 14:57:18 2024	3.986753	59.691166	51.120998
Fri Jan  5 14:57:19 2024	3.985507	59.691166	51.608002
Fri Jan  5 14:57:20 2024	3.984272	59.691166	51.608002
Fri Jan  5 14:57:21 2024	3.983200	59.691166	51.120998
Fri Jan  5 14:57:22 2024	3.982129	59.691166	50.633999
Fri Jan  5 14:57:23 2024	3.980813	59.691166	51.608002
Fri Jan  5 14:57:24 2024	3.979571	59.691166	51.608002
Fri Jan  5 14:57:25 2024	3.978426	59.691166	50.633999
Fri Jan  5 14:57:26 2024	3.980846	60.060963	50.146999
Fri Jan  5 14:57:27 2024	3.987900	60.592953	52.582001
Fri Jan  5 14:57:28 2024	3.995119	60.683777	53.069000
Fri Jan  5 14:57:29 2024	3.998276	59.802898	52.582001
Fri Jan  5 14:57:30 2024	3.997031	59.808666	51.608002
Fri Jan  5 14:57:31 2024	3.996297	59.815155	52.582001
Fri Jan  5 14:57:32 2024	3.995232	59.815155	52.095001
Fri Jan  5 14:57:33 2024	3.995409	60.191128	52.095001
Fri Jan  5 14:57:34 2024	3.994431	60.191128	52.582001
Fri Jan  5 14:57:35 2024	3.995428	60.217079	52.582001
Fri Jan  5 14:57:36 2024	3.996091	60.198029	53.556000
Fri Jan  5 14:57:37 2024	3.996502	60.612827	52.095001
Fri Jan  5 14:57:38 2024	3.996487	60.594498	52.582001
Fri Jan  5 14:57:39 2024	4.000060	60.153748	53.069000
Fri Jan  5 14:57:40 2024	3.998914	60.153748	53.069000
Fri Jan  5 14:57:41 2024	3.998336	60.153748	53.069000
Fri Jan  5 14:57:42 2024	3.997459	60.153748	52.582001
Fri Jan  5 14:57:43 2024	3.996420	60.153748	52.582001
Fri Jan  5 14:57:44 2024	3.995293	60.153748	52.582001
Fri Jan  5 14:57:45 2024	3.994325	60.153748	52.095001
Fri Jan  5 14:57:46 2024	3.993437	60.153748	51.120998
Fri Jan  5 14:57:47 2024	3.992207	60.153748	51.608002
Fri Jan  5 14:57:48 2024	3.991133	60.153748	51.608002
Fri Jan  5 14:57:49 2024	3.989818	60.153748	51.120998
Fri Jan  5 14:57:50 2024	3.988587	60.153748	51.608002
Fri Jan  5 14:57:51 2024	3.989661	60.153748	52.095001
Fri Jan  5 14:57:52 2024	3.990240	60.153748	52.095001
Fri Jan  5 14:57:53 2024	3.989171	60.153748	51.608002
Fri Jan  5 14:57:54 2024	3.988596	60.160236	53.069000
Fri Jan  5 14:57:55 2024	3.987699	60.160236	52.582001
Fri Jan  5 14:57:56 2024	3.986635	60.166721	51.608002
Fri Jan  5 14:57:57 2024	3.985572	60.166721	51.608002
Fri Jan  5 14:57:58 2024	3.984346	60.166721	50.146999
Fri Jan  5 14:57:59 2024	3.983452	60.192673	53.069000
Fri Jan  5 14:58:00 2024	3.982227	60.192673	52.582001
Fri Jan  5 14:58:01 2024	3.981167	60.192673	51.608002
Fri Jan  5 14:58:02 2024	3.980353	60.192673	50.633999
Fri Jan  5 14:58:03 2024	3.979704	60.192673	50.146999
Fri Jan  5 14:58:04 2024	3.978649	60.192673	51.120998
Fri Jan  5 14:58:05 2024	3.977346	60.192673	51.608002
Fri Jan  5 14:58:06 2024	3.976210	60.192673	50.633999
Fri Jan  5 14:58:07 2024	3.975151	60.192673	50.633999
Fri Jan  5 14:58:08 2024	3.973853	60.192673	51.120998
Fri Jan  5 14:58:09 2024	3.972720	60.192673	49.660000
Fri Jan  5 14:58:10 2024	3.971745	60.192673	50.146999
Fri Jan  5 14:58:11 2024	3.970525	60.192673	51.120998
Fri Jan  5 14:58:12 2024	3.969316	60.192673	51.120998
Fri Jan  5 14:58:13 2024	3.968182	60.192673	51.608002
Fri Jan  5 14:58:14 2024	3.966968	60.192673	50.146999
Fri Jan  5 14:58:15 2024	3.965672	60.192673	51.120998
Fri Jan  5 14:58:16 2024	3.964381	60.192673	50.633999
Fri Jan  5 14:58:17 2024	3.963088	60.192673	51.120998
Fri Jan  5 14:58:18 2024	3.961962	60.192673	51.120998
Fri Jan  5 14:58:19 2024	3.960914	60.192673	51.120998
Fri Jan  5 14:58:20 2024	3.959861	60.192673	51.608002
Fri Jan  5 14:58:21 2024	3.958571	60.192673	50.146999
Fri Jan  5 14:58:22 2024	3.957360	60.192673	50.146999
Fri Jan  5 14:58:23 2024	3.956074	60.192673	51.120998
Fri Jan  5 14:58:24 2024	3.954868	60.192673	50.633999
Fri Jan  5 14:58:25 2024	3.953584	60.192673	51.120998
Fri Jan  5 14:58:26 2024	3.952297	60.192673	51.120998
Fri Jan  5 14:58:27 2024	3.951093	60.192673	50.633999
Fri Jan  5 14:58:28 2024	3.949809	60.192673	50.633999
Fri Jan  5 14:58:29 2024	3.948525	60.192673	51.608002
Fri Jan  5 14:58:30 2024	3.947405	60.192673	50.633999
Fri Jan  5 14:58:31 2024	3.946529	60.192673	50.633999
Fri Jan  5 14:58:32 2024	3.945247	60.192673	49.660000
Fri Jan  5 14:58:33 2024	3.944045	60.192673	50.633999
Fri Jan  5 14:58:34 2024	3.942956	60.192673	51.120998
Fri Jan  5 14:58:35 2024	3.942092	60.192673	51.120998
Fri Jan  5 14:58:36 2024	3.941303	60.192673	50.146999
Fri Jan  5 14:58:37 2024	3.940680	60.192673	51.608002
Fri Jan  5 14:58:38 2024	3.940544	60.192673	50.146999
Fri Jan  5 14:58:39 2024	3.940570	60.192673	50.633999
Fri Jan  5 14:58:40 2024	3.940184	60.192673	50.146999
Fri Jan  5 14:58:41 2024	3.939481	60.192673	50.633999
Fri Jan  5 14:58:42 2024	3.939744	60.225113	51.608002
Fri Jan  5 14:58:43 2024	3.938472	60.225113	50.633999
Fri Jan  5 14:58:44 2024	3.937357	60.594906	51.120998
Fri Jan  5 14:58:45 2024	3.936087	60.594906	51.120998
Fri Jan  5 14:58:46 2024	3.937087	60.818062	52.095001
Fri Jan  5 14:58:47 2024	3.936461	60.175167	51.608002
Fri Jan  5 14:58:48 2024	3.935357	60.175167	50.633999
Fri Jan  5 14:58:49 2024	3.934670	60.175167	51.608002
Fri Jan  5 14:58:50 2024	3.933730	60.175167	51.608002
Fri Jan  5 14:58:51 2024	3.932631	60.175167	51.120998
Fri Jan  5 14:58:52 2024	3.932256	60.175167	51.608002
Fri Jan  5 14:58:53 2024	3.931397	60.175167	50.633999
Fri Jan  5 14:58:54 2024	3.930133	60.180935	50.633999
Fri Jan  5 14:58:55 2024	3.929024	60.180935	52.095001
Fri Jan  5 14:58:56 2024	3.927916	60.180935	51.608002
Fri Jan  5 14:58:57 2024	3.926657	60.180935	51.608002
Fri Jan  5 14:58:58 2024	3.925554	60.180935	51.608002
Fri Jan  5 14:58:59 2024	3.924374	60.180935	50.633999
Fri Jan  5 14:59:00 2024	3.923353	60.187420	51.120998
Fri Jan  5 14:59:01 2024	3.922251	60.187420	50.633999
Fri Jan  5 14:59:02 2024	3.921151	60.187420	50.633999
Fri Jan  5 14:59:03 2024	3.920135	60.193909	50.633999
Fri Jan  5 14:59:04 2024	3.919276	60.193909	50.146999
Fri Jan  5 14:59:05 2024	3.918020	60.193909	50.146999
Fri Jan  5 14:59:06 2024	3.916842	60.193909	50.146999
Fri Jan  5 14:59:07 2024	3.916551	60.193188	50.633999
Fri Jan  5 14:59:08 2024	3.916254	60.199574	50.633999
Fri Jan  5 14:59:09 2024	3.916290	60.244987	51.608002
Fri Jan  5 14:59:10 2024	3.915919	60.251472	50.633999
Fri Jan  5 14:59:11 2024	3.915071	60.257961	52.582001
Fri Jan  5 14:59:12 2024	3.916784	60.285355	52.095001
Fri Jan  5 14:59:13 2024	3.916343	60.291843	51.120998
Fri Jan  5 14:59:14 2024	3.915168	60.291843	51.120998
Fri Jan  5 14:59:15 2024	3.913918	60.291843	52.095001
Fri Jan  5 14:59:16 2024	3.912818	60.291843	50.633999
Fri Jan  5 14:59:17 2024	3.911569	60.291843	50.146999
Fri Jan  5 14:59:18 2024	3.910481	60.291843	51.120998
Fri Jan  5 14:59:19 2024	3.910519	59.795174	51.120998
Fri Jan  5 14:59:20 2024	3.912807	59.794865	50.633999
Fri Jan  5 14:59:21 2024	3.917166	59.794865	51.608002
Fri Jan  5 14:59:22 2024	3.917921	59.807842	51.120998
Fri Jan  5 14:59:23 2024	3.918276	59.807842	52.095001
Fri Jan  5 14:59:24 2024	3.919110	59.813610	51.608002
Fri Jan  5 14:59:25 2024	3.919138	59.813610	53.069000
Fri Jan  5 14:59:26 2024	3.918456	59.813610	51.120998
Fri Jan  5 14:59:27 2024	3.919062	59.813610	52.095001
Fri Jan  5 14:59:28 2024	3.917974	59.813610	52.095001
Fri Jan  5 14:59:29 2024	3.917124	59.813610	50.633999
Fri Jan  5 14:59:30 2024	3.916185	59.813610	51.120998
Fri Jan  5 14:59:31 2024	3.915020	59.813610	50.633999
Fri Jan  5 14:59:32 2024	3.913929	59.813610	51.120998
Fri Jan  5 14:59:33 2024	3.912686	59.813610	50.633999
Fri Jan  5 14:59:34 2024	3.911912	59.859024	52.095001
Fri Jan  5 14:59:35 2024	3.910743	59.859024	51.120998
Fri Jan  5 14:59:36 2024	3.909658	59.859024	50.633999
Fri Jan  5 14:59:37 2024	3.908415	59.859024	50.633999
Fri Jan  5 14:59:38 2024	3.907173	59.859024	50.146999
Fri Jan  5 14:59:39 2024	3.906090	59.859024	50.633999
Fri Jan  5 14:59:40 2024	3.904843	59.859024	50.633999
Fri Jan  5 14:59:41 2024	3.904088	59.859024	51.120998
Fri Jan  5 14:59:42 2024	3.905884	59.859024	51.608002
Fri Jan  5 14:59:43 2024	3.905621	59.859024	50.633999
Fri Jan  5 14:59:44 2024	3.907082	59.864788	51.120998
Fri Jan  5 14:59:45 2024	3.907419	59.864788	52.095001
Fri Jan  5 14:59:46 2024	3.910232	60.098343	51.120998
Fri Jan  5 14:59:47 2024	3.917165	60.896019	52.582001
Fri Jan  5 14:59:48 2024	3.916890	60.896019	52.582001
Fri Jan  5 14:59:49 2024	3.917477	60.901783	53.069000
Fri Jan  5 14:59:50 2024	3.916236	60.901783	52.095001
Fri Jan  5 14:59:51 2024	3.917386	60.163425	51.608002
Fri Jan  5 14:59:52 2024	3.917994	60.143963	51.608002
Fri Jan  5 14:59:53 2024	3.918507	60.143963	53.069000
Fri Jan  5 14:59:54 2024	3.919658	59.804958	53.069000
Fri Jan  5 14:59:55 2024	3.919864	59.804649	52.582001
Fri Jan  5 14:59:56 2024	3.919263	59.804649	52.095001
Fri Jan  5 14:59:57 2024	3.919291	59.804649	52.582001
Fri Jan  5 14:59:58 2024	3.918461	59.804649	51.608002
Fri Jan  5 14:59:59 2024	3.918742	59.785599	52.582001
Fri Jan  5 15:00:00 2024	3.917905	59.753674	52.095001
Fri Jan  5 15:00:01 2024	3.917376	59.753674	53.069000
